Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,no_qualifications,not_participating,University,drive_petrol,drive_GP,drive_post,drive_primary,drive_retail,drive_secondary,PT_GP,PT_post,PT_retail,Broadband,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate,urban
S01010431,Scotstoun North and East,Glasgow City,675,445,0.03,17,0.03,14,35,26.23695298,22.52969386,69.58163353,0.128985507,0.071428571,70.90876227,*,6.588235294,26.58425775,0.012345679,0.272727,2.326435714,1.600867857,1.954667857,1.861626984,3.249460714,2.227708333,6.254557143,6.209932143,13.94682857,0,13.06158422,193.5049515,33,3,0.047142857,0.004285714,1
S01010432,Scotstoun South and West,Glasgow City,902,662,0.25,230,0.17,111,190,144.8825402,214.5135472,87.55342771,0.195604396,0.066666667,117.6518367,0.73737,6,158.4865451,0.030927835,0.096154,3.3240625,1.622369318,1.284548295,3.014458128,1.826866477,4.774831081,4.021502841,2.787647727,7.965414773,0,43.20370166,478.9767368,220,14,0.25,0.015909091,1
S01010433,Scotstoun South and West,Glasgow City,631,441,0.39,247,0.26,114,235,195.0895235,478.882292,96.37762047,0.223706177,0.081081081,137.8973007,0.7619,5.842105263,272.2680035,0.065789474,0.044118,3.559106476,0.701653176,1.535675592,3.343778802,1.147440847,4.407965368,2.272714819,5.519788294,3.570410959,0,44.20843891,700.6091745,315,40,0.392278954,0.0498132,1
S01010434,Scotstoun South and West,Glasgow City,620,453,0.4,249,0.26,117,210,505.9550628,265.4563575,136.4225943,0.254545455,0.048780488,172.2680399,0.71642,4.363636364,206.8954029,0.057471264,0.054348,2.514883628,1.404650883,0.742263242,2.396850829,2.093683788,4.028680556,3.781043339,2.340144462,8.781986356,0,17.08053322,275.4924712,151,10,0.242375602,0.016051364,1
S01010435,Scotstoun South and West,Glasgow City,645,418,0.21,135,0.11,47,175,109.9180564,72.92863299,102.5016213,0.25682183,0.071428571,157.3066999,0.78481,5.384615385,146.4768245,0.035714286,0.079545,4.102097792,0.960189274,1.491545741,3.0075,1.805713722,5.407105263,3.368856467,3.443481861,7.643288644,0,39.18475267,607.5155453,74,8,0.116719243,0.012618297,1
S01010436,Scotstoun South and West,Glasgow City,799,601,0.31,245,0.25,148,220,198.3090178,264.49055,120.9613083,0.262111801,0.09375,127.010171,0.69718,5.1,166.5898084,0.090909091,0.032967,1.775224936,0.809113111,1.104669023,1.95908284,2.902406812,3.508081081,2.426073265,2.776401028,9.541208226,0.002016129,58.27476038,729.3461875,237,11,0.304627249,0.014138817,1
S01010437,Yoker South,Glasgow City,570,384,0.21,120,0.14,53,145,157.558842,340.3828137,139.7003122,0.179001721,0.095238095,120.4152619,0.89916,5.65,155.8040906,0.045454545,0.045045,4.521355476,1.3980386,2.097778276,2.990252525,2.818141831,6.459278351,5.562405745,7.189456912,11.99108618,0,15.07105872,264.4045389,161,14,0.289048474,0.02513465,1
S01010438,Yoker South,Glasgow City,873,586,0.27,232,0.19,109,180,157.5393466,95.27382348,134.1175949,0.210829493,0.097560976,103.413393,0.75668,4.979166667,160.9306763,0.029069767,0.087719,3.301648126,1.721173888,2.044815574,2.446783333,3.507318501,6.746746725,4.485421546,6.863987119,11.68847775,0,30.14211744,345.270532,238,18,0.278688525,0.021077283,1
S01010439,Yoker South,Glasgow City,980,736,0.26,256,0.17,124,165,142.7602351,46.28063078,116.1050264,0.196157735,0.015873016,110.7286737,0.73359,5.310344828,148.3064528,0.0546875,0.086957,3.127867647,1.564160751,2.821313387,2.718554217,3.802162779,7.032275641,3.167553245,5.875005071,10.7588286,0,37.17527818,379.3395732,227,14,0.233299075,0.014388489,1
S01010440,Yoker South,Glasgow City,626,425,0.32,202,0.24,103,210,217.8873939,138.9193892,111.3702608,0.306818182,0.083333333,130.3979208,0.77419,5.666666667,178.0270295,0.016949153,0.135135,2.078511538,1.513384615,2.781315385,1.915857143,4.708626923,7.132055556,4.919188462,7.989723077,13.5899,0,35.16580368,561.7540524,124,21,0.190769231,0.032307692,1
